Manufacturer,Model,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Car Age
TOYOTA,CHR,Petrol,2,16213.0,4.0,Automatic,Front,7
TOYOTA,CHR,Petrol,2,24339.0,4.0,Automatic,Front,6
MERCEDES-BENZ,E 320,Petrol,3.2,12000.0,6.0,Tiptronic,Rear,23
SUBARU,Forester,Petrol,2.0 Turbo,18000.0,4.0,Tiptronic,4x4,22
SUZUKI,Grand Vitara,Petrol,2.7,180000.0,6.0,Automatic,4x4,20
HYUNDAI,H1,Diesel,2.5,110189.0,4.0,Automatic,Front,9
OPEL,Astra,Petrol,1.4,1111.0,4.0,Manual,Front,31
CHEVROLET,Aveo,Petrol,1.6,71000.0,4.0,Automatic,Front,12
OPEL,Combo,CNG,1.6,205000.0,4.0,Manual,Front,17
HYUNDAI,Genesis,Petrol,2,160000.0,4.0,Automatic,Front,14
HYUNDAI,Santa FE,Diesel,2,117000.0,4.0,Automatic,Front,10
HYUNDAI,Sonata,Petrol,2.4,246230.0,4.0,Automatic,Front,13
FORD,Fiesta,Petrol,1.6,37000.0,4.0,Automatic,Front,12
SSANGYONG,Korando,Diesel,2,99895.0,4.0,Automatic,Front,14
MITSUBISHI,Outlander Sport,Petrol,2,21000.0,4.0,Variator,4x4,8
CHEVROLET,Captiva,Petrol,2.4,195069.0,4.0,Automatic,Front,11
FORD,Mustang,Petrol,3.7,92000.0,6.0,Manual,Rear,13
LEXUS,GX 460,Petrol,4.6,188078.0,8.0,Automatic,4x4,10
NISSAN,Serena Serea,Petrol,2,46702.0,4.0,Variator,Front,20
HYUNDAI,Sonata,LPG,2,272769.0,4.0,Automatic,Front,10
CHEVROLET,Malibu,Petrol,2.4,205307.0,4.0,Automatic,Front,14
OPEL,Vectra B,Diesel,2,441000.0,4.0,Manual,Front,24
VOLKSWAGEN,Caddy,Diesel,1.9,194000.0,4.0,Manual,Front,28
TOYOTA,Vitz,Petrol,1,11111.0,3.0,Automatic,Front,18
MERCEDES-BENZ,E 55,Petrol,5.5,104000.0,8.0,Tiptronic,Rear,13
BMW,X5,Diesel,3,110715.0,6.0,Automatic,4x4,11
NISSAN,Micra,CNG,1,2888.0,4.0,Manual,Front,28
HYUNDAI,Sonata,LPG,2,620755.0,4.0,Automatic,Front,10
CHEVROLET,Volt,Hybrid,1.4,131893.0,4.0,Automatic,Front,11
CHEVROLET,Cruze,Petrol,1.8,80497.0,4.0,Automatic,Front,13
MAZDA,MPV,LPG,2.3,150783.0,4.0,Automatic,Front,21
HYUNDAI,Sonata,Petrol,2.4,289920.0,4.0,Automatic,Front,13
TOYOTA,Vitz,Petrol,1.3,203000.0,4.0,Variator,4x4,14
OPEL,Zafira,CNG,1.6,350000.0,4.0,Manual,Front,19
MINI,Cooper S Cabrio,Petrol,2,59408.0,4.0,Automatic,Front,9
HONDA,Civic,Hybrid,1.5,49272.0,4.0,Automatic,Front,10
KIA,Sportage,Diesel,2,47232.0,4.0,Automatic,Front,14
MERCEDES-BENZ,E 230,Petrol,2.3,105000.0,4.0,Automatic,Rear,28
HYUNDAI,Accent,Diesel,1.6,43840.0,4.0,Automatic,Front,9
HYUNDAI,H1,Diesel,2.5,140000.0,4.0,Automatic,Front,11
KIA,Optima,Hybrid,2.4,100000.0,4.0,Automatic,Front,13
FORD,Transit S,Diesel,2,239000.0,4.0,Manual,Rear,21
SUBARU,Legacy,CNG,2,188645.0,4.0,Automatic,4x4,23
HYUNDAI,Sonata,Petrol,2.4,51000.0,4.0,Tiptronic,Front,9
LEXUS,IS 350,Petrol,3.5,259066.0,6.0,Automatic,4x4,14
HONDA,Civic,Petrol,2,42378.0,4.0,Automatic,Front,9
CHEVROLET,Cruze,Petrol,1.4 Turbo,144000.0,4.0,Tiptronic,Front,10
HYUNDAI,Elantra,Petrol,1.6,143091.0,4.0,Automatic,Front,16
FORD,C-MAX HYBRID,Hybrid,2,125000.0,4.0,Automatic,Front,12
FORD,Fusion,Hybrid,2,218400.0,4.0,Automatic,Front,12
LEXUS,RX 450,Hybrid,3.5,138038.0,6.0,Automatic,Front,12
LEXUS,ES 300,Hybrid,2.5,98032.0,4.0,Automatic,Front,10
MERCEDES-BENZ,E 350,Diesel,3.5,170429.0,6.0,Automatic,Rear,14
BMW,435 CUPE,Petrol,3.0 Turbo,56000.0,6.0,Tiptronic,Rear,11
NISSAN,Juke,Petrol,1.6,166013.0,4.0,Automatic,Front,12
CHEVROLET,Traverse,Petrol,3.6,248954.0,6.0,Automatic,Front,14
CHEVROLET,Cruze,Petrol,1.4,100000.0,4.0,Tiptronic,Front,10
VOLKSWAGEN,Passat,Petrol,2.5,188485.0,4.0,Tiptronic,Front,13
TOYOTA,Prius,Hybrid,1.7,27500.0,4.0,Automatic,Front,19
MERCEDES-BENZ,E 350,LPG,3.5 Turbo,26600.0,6.0,Tiptronic,4x4,20
MERCEDES-BENZ,ML 500,Petrol,5,216000.0,8.0,Tiptronic,4x4,19
LEXUS,HS 250h,Hybrid,2.4,156000.0,4.0,Tiptronic,Front,15
LEXUS,GX 470,Petrol,4.6,202651.0,8.0,Automatic,4x4,12
CHEVROLET,Captiva,Diesel,2.2,70479.0,4.0,Automatic,Front,14
CHEVROLET,Captiva,Diesel,2,101537.0,4.0,Automatic,Front,10
VOLKSWAGEN,Passat,Petrol,2.5,109000.0,5.0,Tiptronic,Front,13
CHEVROLET,Orlando,Diesel,2,129760.0,4.0,Automatic,Front,13
TOYOTA,Prius,Hybrid,1.8,312000.0,4.0,Variator,Front,15
CHEVROLET,Cruze,Petrol,1.4 Turbo,46800.0,4.0,Automatic,Front,8
MERCEDES-BENZ,ML 270,Diesel,2.7 Turbo,335000.0,5.0,Tiptronic,4x4,25
CHEVROLET,Cruze,Petrol,1.4,41822.0,4.0,Automatic,Front,7
CHEVROLET,Captiva,Diesel,2,54472.0,4.0,Automatic,Front,9
LEXUS,LX 470,Petrol,4.7,404800.0,8.0,Automatic,4x4,27
VAZ,2107,Petrol,1.6,10000.0,9.0,Manual,4x4,26
FORD,Focus,Petrol,2,8640.0,4.0,Automatic,4x4,11
MERCEDES-BENZ,CLK 200 Kompressor,Petrol,2,189622.0,4.0,Manual,Rear,25
TOYOTA,Camry,Petrol,2.5,210450.0,4.0,Automatic,Front,10
FORD,Focus,Petrol,2,200000.0,4.0,Automatic,Front,13
MERCEDES-BENZ,C 230,Petrol,2.5,255000.0,6.0,Tiptronic,Rear,18
FORD,Fusion,Hybrid,2,339920.0,4.0,Automatic,Front,12
HONDA,Elysion,Petrol,2.4,171000.0,4.0,Automatic,Front,15
HYUNDAI,Sonata,LPG,2,705856.0,4.0,Automatic,Front,10
TOYOTA,Aqua,Hybrid,1.5,138000.0,4.0,Automatic,Front,11
JEEP,Grand Cherokee,Petrol,4,335000.0,6.0,Automatic,4x4,31
MERCEDES-BENZ,E 550,Petrol,3.2,150000.0,6.0,Tiptronic,Rear,26
CHEVROLET,Camaro,Petrol,6.2,81142.0,4.0,Automatic,Front,9
TOYOTA,Camry,Hybrid,2.5,136861.0,4.0,Automatic,Front,12
MERCEDES-BENZ,E 350,Diesel,3.5,219030.0,6.0,Automatic,4x4,11
TOYOTA,RAV 4,Petrol,2.5,60800.0,4.0,Tiptronic,4x4,10
TOYOTA,Prius,Hybrid,1.8,159000.0,4.0,Automatic,Front,10
CHEVROLET,Cruze,Diesel,2,52312.0,4.0,Automatic,Front,13
HYUNDAI,Elantra,LPG,1.6,110000.0,4.0,Automatic,Front,8
HYUNDAI,Sonata,LPG,2,26729.0,4.0,Automatic,Front,9
VOLKSWAGEN,Caddy,Diesel,1.9,260000.0,4.0,Manual,Front,26
CHEVROLET,Lacetti,Petrol,1.6,119806.0,4.0,Automatic,Front,16
CHEVROLET,Captiva,Petrol,2.4,132429.0,4.0,Automatic,Front,12
MERCEDES-BENZ,C 300,Petrol,3,1000.0,6.0,Tiptronic,Rear,18
FORD,Transit 135,Diesel,2.4 Turbo,193000.0,4.0,Manual,Rear,22
HYUNDAI,Sonata,Petrol,2,169765.0,4.0,Automatic,Front,14
TOYOTA,Aqua,Petrol,1.5,14486.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Diesel,1.6,50051.0,4.0,Automatic,Front,9
TOYOTA,Aqua,Petrol,1.5,59000.0,4.0,Automatic,Front,12
LEXUS,CT 200h,Hybrid,1.8,174106.0,4.0,Automatic,Front,13
TOYOTA,Aqua,Petrol,1.5,64400.0,4.0,Automatic,Front,13
CHEVROLET,Cruze,Petrol,1.4 Turbo,126000.0,4.0,Automatic,Front,11
HYUNDAI,Tucson,Diesel,2,60000.0,4.0,Automatic,Front,10
TOYOTA,Prius,Hybrid,1.8,489584.0,4.0,Automatic,Front,14
NISSAN,Note,Petrol,1.2,181000.0,4.0,Automatic,Front,13
HYUNDAI,Tucson,Diesel,2,121764.0,4.0,Automatic,Front,9
CHEVROLET,Captiva,Diesel,2.2,195691.0,4.0,Automatic,Front,11
BMW,M5 Japan,Petrol,5,97000.0,10.0,Manual,Rear,19
VOLKSWAGEN,Golf TDI,Diesel,2.0 Turbo,130000.0,4.0,Manual,Front,13
HYUNDAI,Elantra,Petrol,1.6,56378.0,4.0,Automatic,Front,8
BMW,335,Petrol,3,143950.0,6.0,Automatic,4x4,14
MITSUBISHI,Outlander SPORT,Petrol,2,83516.0,4.0,Automatic,4x4,11
HYUNDAI,Tucson,Petrol,1.6,32724.0,4.0,Automatic,Front,6
BMW,535,Petrol,3,0.0,6.0,Automatic,Rear,11
HONDA,FIT,Petrol,1.3,69968.0,4.0,Automatic,Front,8
FORD,Transit,Diesel,2.2 Turbo,0.0,5.0,Manual,Front,18
MERCEDES-BENZ,CLK 320,Petrol,3.2,237000.0,6.0,Tiptronic,Rear,26
VOLKSWAGEN,Jetta,Diesel,1.8,213698.0,4.0,Automatic,Front,11
SUBARU,Forester,Petrol,2.5,260133.0,4.0,Automatic,4x4,13
VOLKSWAGEN,Caddy,Diesel,2.0 Turbo,238000.0,4.0,Manual,Front,16
LEXUS,NX 200,Petrol,2,54120.0,4.0,Automatic,4x4,8
HYUNDAI,Tucson,Diesel,1.7,101248.0,4.0,Automatic,Front,9
BMW,750,Petrol,4.4,87243.0,8.0,Automatic,Rear,12
TOYOTA,Caldina,Petrol,2,112000.0,4.0,Automatic,Front,22
HYUNDAI,Tucson,Petrol,2.4,180000.0,4.0,Tiptronic,4x4,15
TOYOTA,Prius,Hybrid,1.8,196121.0,4.0,Automatic,Front,15
HYUNDAI,Tucson,Diesel,2,27243.0,4.0,Automatic,Front,9
LEXUS,GX 470,Petrol,4.6,202048.0,8.0,Automatic,4x4,14
TOYOTA,Aqua s,Hybrid,1.5,133000.0,4.0,Automatic,Front,11
HYUNDAI,Elantra LIMITED,Petrol,1.8,123200.0,4.0,Automatic,Front,12
BMW,X5,Petrol,4.4,247877.0,8.0,Automatic,4x4,11
HONDA,Insight,Hybrid,1.3,180000.0,4.0,Variator,Front,16
LEXUS,RX 450,Hybrid,3.5,186005.0,6.0,Automatic,4x4,15
TOYOTA,Camry,Petrol,2.5,88000.0,4.0,Tiptronic,Front,11
HYUNDAI,H1,Diesel,2.5,85933.0,4.0,Automatic,Front,11
PEUGEOT,607,Diesel,2.2 Turbo,325000.0,6.0,Tiptronic,Front,24
HYUNDAI,H1,Diesel,2.5,39071.0,4.0,Automatic,Front,8
HYUNDAI,H1,Diesel,2.5,90000.0,4.0,Automatic,Front,9
MERCEDES-BENZ,E 300,Petrol,2,70880.0,4.0,Automatic,Rear,8
DAEWOO,Lacetti,Petrol,1.6,36125.0,4.0,Automatic,Front,15
CHEVROLET,Cruze,Petrol,1.8,130000.0,4.0,Automatic,Front,14
HYUNDAI,Elantra,Diesel,1.6,102152.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Petrol,1.6,137213.0,4.0,Automatic,Front,14
OPEL,Astra H,Petrol,1.8,168000.0,4.0,Manual,Front,17
FORD,Fiesta,Petrol,1.6,73600.0,4.0,Tiptronic,Front,9
VOLKSWAGEN,Golf,CNG,1.8,234000.0,4.0,Manual,Front,34
FORD,Explorer,Petrol,2.3,125072.0,4.0,Automatic,Front,9
VOLKSWAGEN,Passat,Petrol,1.8 Turbo,87000.0,4.0,Tiptronic,Front,9
VOLKSWAGEN,NEW Beetle,Petrol,2,0.0,4.0,Automatic,Front,22
MERCEDES-BENZ,C 240,LPG,2.6,196600.0,6.0,Manual,Rear,25
RENAULT,Megane GT Line,Diesel,1.5 Turbo,170000.0,4.0,Manual,Front,13
HYUNDAI,Elantra,Petrol,1.8,0.0,6.0,Automatic,Front,11
BMW,X5,Diesel,3.5 Turbo,267632.0,6.0,Tiptronic,Rear,15
TOYOTA,Prius,Hybrid,1.8,179200.0,4.0,Variator,Rear,15
MERCEDES-BENZ,C 250,Petrol,1.8 Turbo,95000.0,4.0,Automatic,Rear,12
AUDI,A7,Petrol,3,191373.0,6.0,Automatic,4x4,11
CHEVROLET,Lacetti,Petrol,1.8,128257.0,4.0,Automatic,Front,15
HYUNDAI,Sonata,LPG,2,377942.0,4.0,Automatic,Front,11
BMW,X5,Diesel,3,265210.0,6.0,Automatic,4x4,15
KIA,Optima,Petrol,2,41412.0,4.0,Automatic,Front,12
TOYOTA,Camry,Petrol,2.5,44845.0,4.0,Automatic,Front,7
TOYOTA,Camry,Petrol,2.5,114389.0,4.0,Automatic,Front,9
HYUNDAI,Tucson,Diesel,2,99000.0,4.0,Automatic,Front,9
TOYOTA,Highlander,Hybrid,3.3,300366.0,6.0,Automatic,4x4,15
NISSAN,X-Trail,Petrol,2,22000.0,4.0,Automatic,4x4,9
CHEVROLET,Cruze,Petrol,1.4,184835.0,4.0,Automatic,Front,11
SKODA,Octavia,Petrol,1.8 Turbo,180000.0,4.0,Manual,4x4,14
MERCEDES-BENZ,ML 350,CNG,3.7,235200.0,6.0,Tiptronic,4x4,22
MERCEDES-BENZ,CLS 350 AMG,Petrol,3.5,63000.0,6.0,Tiptronic,Rear,17
HYUNDAI,Santa FE,Diesel,2,182217.0,4.0,Automatic,Front,12
TOYOTA,Highlander,Petrol,3.5,368064.0,6.0,Automatic,4x4,14
TOYOTA,Vitz,Petrol,1.3,170342.0,4.0,Variator,Front,21
CHEVROLET,Orlando,Diesel,1.6,71400.0,4.0,Automatic,Front,8
FORD,Fusion,Plug-in Hybrid,2,78000.0,4.0,Automatic,Front,10
HYUNDAI,Sonata,Petrol,2,157367.0,4.0,Automatic,Front,13
HYUNDAI,Elantra,Petrol,1.6,117500.0,4.0,Automatic,Front,12
CHEVROLET,Malibu,Petrol,1.5,8710.0,4.0,Automatic,Front,6
AUDI,Q5 S-line,Petrol,3.0 Turbo,139259.0,6.0,Tiptronic,4x4,12
HYUNDAI,Santa FE,Petrol,2.4,87000.0,4.0,Automatic,Front,11
FORD,Transit,Diesel,2.4 Turbo,286000.0,4.0,Manual,Rear,19
TOYOTA,RAV 4,Petrol,2.4,113600.0,5.0,Automatic,Front,17
HYUNDAI,Elantra,Diesel,1.6,60000.0,4.0,Automatic,Front,7
TOYOTA,Camry,Petrol,2.5,45371.0,4.0,Automatic,Front,7
BMW,X1,Petrol,2.0 Turbo,68000.0,4.0,Tiptronic,4x4,12
CHEVROLET,Malibu,Petrol,2,114107.0,4.0,Automatic,Front,12
MERCEDES-BENZ,CLK 270,Diesel,2.7 Turbo,260000.0,5.0,Tiptronic,Rear,23
FORD,Transit,Diesel,2.2 Turbo,158000.0,4.0,Manual,Front,18
MERCEDES-BENZ,E 350,Diesel,3.5,29675.0,6.0,Automatic,4x4,11
TOYOTA,Prius,Hybrid,1.8,288034.0,4.0,Automatic,Front,16
HYUNDAI,H1,Diesel,2.5,119884.0,4.0,Automatic,Front,11
HYUNDAI,Sonata,Petrol,2,95948.0,4.0,Automatic,Front,8
LEXUS,GX 470,Petrol,4.6,154115.0,8.0,Automatic,4x4,12
MERCEDES-BENZ,Vito,Diesel,2.3 Turbo,222000.0,4.0,Manual,Front,27
MERCEDES-BENZ,E 350,Diesel,3.5,0.0,6.0,Automatic,Rear,12
ACURA,RDX,Petrol,3.5,0.0,6.0,Automatic,4x4,10
SUBARU,Forester,Petrol,2,145576.0,4.0,Automatic,4x4,20
DAIHATSU,Sirion,Petrol,1.2,25000.0,4.0,Manual,Front,23
HYUNDAI,Sonata,LPG,2,616691.0,4.0,Automatic,Front,10
MERCEDES-BENZ,E 350,Diesel,3.5,109139.0,6.0,Automatic,Rear,16
LEXUS,CT 200h,Hybrid,1.8,149981.0,4.0,Automatic,Front,13
TOYOTA,Land Cruiser Prado,Diesel,3.0 Turbo,137000.0,6.0,Tiptronic,4x4,11
FORD,Fiesta,Petrol,1.6,84800.0,4.0,Automatic,Front,11
FORD,Transit,Diesel,2.5 Turbo,0.0,4.0,Manual,Rear,30
HYUNDAI,Elantra GT,Petrol,2,51950.0,4.0,Automatic,Front,11
MERCEDES-BENZ,C 230,Petrol,2.3,210456.0,4.0,Manual,Rear,29
HYUNDAI,Accent,Diesel,1.6,126265.0,4.0,Automatic,Front,11
MITSUBISHI,Colt,Petrol,1.3,89617.0,4.0,Variator,Front,15
VOLKSWAGEN,Jetta,Diesel,2,82392.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Petrol,1.8,129000.0,4.0,Tiptronic,Front,13
CHEVROLET,Cruze,Petrol,1.4,14074.0,4.0,Automatic,Front,6
HYUNDAI,Sonata,LPG,2,620755.0,4.0,Automatic,Front,10
MERCEDES-BENZ,E 320,CNG,3.2,0.0,6.0,Automatic,Rear,27
TOYOTA,Camry,Hybrid,2.5,89600.0,6.0,Automatic,Rear,10
MERCEDES-BENZ,E 300,Petrol,2,50930.0,4.0,Automatic,Rear,8
MERCEDES-BENZ,E 270,Diesel,2.7 Turbo,5000.0,6.0,Automatic,Rear,23
CHEVROLET,Orlando,Diesel,2,198000.0,4.0,Automatic,Front,13
CHEVROLET,Cruze RS,Petrol,1.4 Turbo,32000.0,4.0,Tiptronic,Front,9
MERCEDES-BENZ,C 250,Petrol,0,121600.0,4.0,Automatic,Rear,12
CHEVROLET,Cruze,Petrol,1.4 Turbo,99200.0,4.0,Tiptronic,Front,9
FORD,Fusion,Hybrid,2.5,245000.0,4.0,Automatic,Front,16
TOYOTA,Prius,Petrol,1.8,137568.0,4.0,Automatic,Front,12
JEEP,Grand Cherokee,CNG,4.7,297600.0,8.0,Automatic,4x4,24
TOYOTA,Camry,Hybrid,2.5,73600.0,6.0,Automatic,Front,12
HYUNDAI,Santa FE,Diesel,2,134413.0,4.0,Automatic,Front,9
TOYOTA,Prius,Hybrid,1.8,146000.0,4.0,Automatic,Front,15
LINCOLN,MKZ hybrid,Hybrid,2,137666.0,4.0,Tiptronic,Front,10
HYUNDAI,Elantra,Petrol,1.8,105600.0,4.0,Tiptronic,Front,11
HYUNDAI,Elantra SE,Petrol,2,53895.0,4.0,Automatic,Front,8
MAZDA,Mazda 6,Petrol,2.3,150000.0,4.0,Tiptronic,Front,23
TOYOTA,Prius,Hybrid,1.8,172707.0,4.0,Variator,Front,15
HYUNDAI,Elantra,Petrol,1.8,135456.0,4.0,Automatic,Front,13
SSANGYONG,Actyon,Diesel,2,173987.0,4.0,Automatic,Front,14
BMW,740,Petrol,4,180000.0,8.0,Tiptronic,Rear,19
BMW,130,Petrol,2.8,163000.0,6.0,Automatic,Rear,16
KIA,Optima,Petrol,2,27390.0,4.0,Automatic,Front,9
CHEVROLET,Cruze,Petrol,1.8,150001.0,4.0,Automatic,Front,15
HYUNDAI,Genesis,Petrol,2,100000.0,4.0,Automatic,Front,15
HYUNDAI,Santa FE,Diesel,2,108025.0,4.0,Automatic,Front,9
NISSAN,Juke,Petrol,1.6 Turbo,147200.0,4.0,Tiptronic,Front,12
BMW,750,Petrol,5,177000.0,8.0,Tiptronic,Rear,20
VOLKSWAGEN,GTI,Petrol,0.2,104618.0,4.0,Automatic,Front,10
HYUNDAI,Elantra,Petrol,2,41000.0,4.0,Automatic,Front,9
HYUNDAI,Sonata,Petrol,2,24148.0,4.0,Automatic,Front,10
SUBARU,Legacy,Petrol,2.0 Turbo,1111.0,4.0,Manual,4x4,19
VOLKSWAGEN,Jetta,Diesel,2,119619.0,4.0,Automatic,Front,13
VOLKSWAGEN,Passat,Petrol,1.8 Turbo,250000.0,4.0,Automatic,Front,13
HYUNDAI,Sonata,Petrol,2,155590.0,4.0,Automatic,Front,15
HYUNDAI,Santa FE,Diesel,2,35000.0,4.0,Automatic,Front,9
BMW,X5,Petrol,4.4,141454.0,8.0,Tiptronic,4x4,21
OPEL,Vectra B,Petrol,1.8,156000.0,4.0,Manual,Front,25
NISSAN,X-Trail X-trail,Petrol,2,254321.0,4.0,Manual,4x4,23
LEXUS,CT 200h,Hybrid,1.8,125000.0,4.0,Automatic,Front,12
BMW,X5,Diesel,3,296395.0,6.0,Automatic,4x4,13
JEEP,Compass,Petrol,2.4,54575.0,4.0,Automatic,Front,16
FORD,Focus,Petrol,2.0 Turbo,53000.0,4.0,Manual,Front,12
MERCEDES-BENZ,E 350,Diesel,3.5,230696.0,6.0,Automatic,4x4,14
TOYOTA,Hilux Surf,Petrol,3.4,262000.0,6.0,Automatic,4x4,27
TOYOTA,CHR,Petrol,2,5219.0,4.0,Automatic,Front,6
HYUNDAI,H1,Diesel,2.5,56765.0,4.0,Automatic,Front,15
TOYOTA,RAV 4,Petrol,2.5,1358.0,4.0,Tiptronic,4x4,7
HYUNDAI,Elantra,Petrol,1.6,165845.0,4.0,Automatic,Front,14
MERCEDES-BENZ,200,Petrol,1.8,0.0,4.0,Manual,Rear,27
TOYOTA,Camry,Hybrid,2.5,156518.0,4.0,Automatic,Front,13
ISUZU,VehiCross,Petrol,3.2,170000.0,6.0,Automatic,4x4,26
TOYOTA,Prius,Petrol,1.5,240000.0,4.0,Variator,Front,18
HYUNDAI,H1,Diesel,2.5 Turbo,150000.0,6.0,Automatic,Rear,16
TOYOTA,Yaris,Petrol,1.5,0.0,4.0,Manual,Front,17
HYUNDAI,Elantra,Petrol,2,71200.0,4.0,Tiptronic,Front,9
VOLKSWAGEN,CC,Petrol,2.0 Turbo,168000.0,4.0,Automatic,Front,15
TOYOTA,Camry,Hybrid,2.5,32000.0,4.0,Automatic,Front,7
FORD,Fusion,Hybrid,2,124493.0,4.0,Automatic,Front,11
HYUNDAI,Santa FE,Diesel,2,113120.0,4.0,Automatic,Front,9
TOYOTA,Prius C Navigation,Hybrid,1.5,87000.0,4.0,Automatic,Front,12
VOLKSWAGEN,Jetta,Petrol,1.4,45312.0,4.0,Tiptronic,Rear,9
HYUNDAI,Genesis,Petrol,2,146691.0,4.0,Automatic,Front,15
HONDA,Insight,Hybrid,1.3,200000.0,4.0,Automatic,Front,16
SSANGYONG,REXTON,Diesel,2,52576.0,4.0,Automatic,Front,11
LEXUS,RX 400,Hybrid,3.3,224629.0,6.0,Automatic,4x4,17
HYUNDAI,Elantra,Petrol,1.8,80000.0,4.0,Tiptronic,Front,12
TOYOTA,Prius,Hybrid,1.8,423418.0,4.0,Automatic,Front,15
TOYOTA,Prius C,Hybrid,1.5,79500.0,4.0,Automatic,Front,10
MERCEDES-BENZ,E 350 w211,Petrol,3.5 Turbo,151000.0,6.0,Automatic,Rear,18
MERCEDES-BENZ,E 350,Diesel,3.5,128202.0,6.0,Automatic,Rear,13
KIA,Optima,Petrol,2.4,120000.0,4.0,Automatic,Front,12
HYUNDAI,Santa FE,Diesel,2,138525.0,4.0,Automatic,Front,13
VOLKSWAGEN,Passat,Petrol,1.8 Turbo,65282.0,4.0,Automatic,Front,11
LEXUS,RX 350,Petrol,3.5,900000.0,12.0,Tiptronic,Front,14
BMW,X5,Hybrid,2,73856.0,4.0,Automatic,4x4,9
KIA,Sorento,Diesel,2,21683.0,4.0,Automatic,Front,9
HONDA,Insight,Hybrid,1.3,184250.0,4.0,Automatic,Front,15
HYUNDAI,Elantra,Petrol,2,44000.0,4.0,Automatic,Front,8
MAZDA,Mazda 6,Diesel,2.2 Turbo,136000.0,4.0,Automatic,Front,11
VOLKSWAGEN,Jetta,Petrol,1.8,107200.0,4.0,Automatic,Rear,11
RENAULT,Clio,Diesel,1.5 Turbo,190000.0,4.0,Manual,Front,15
SUBARU,Forester,Petrol,2.5,204579.0,4.0,Automatic,4x4,13
TOYOTA,Aqua,Petrol,1.5,48300.0,4.0,Automatic,Front,12
CHEVROLET,Volt,Hybrid,1.5,125358.0,4.0,Automatic,Front,8
MERCEDES-BENZ,C 240,Petrol,2.4,240000.0,6.0,Tiptronic,Rear,24
LEXUS,HS 250h,Hybrid,2.5,85000.0,4.0,Automatic,Front,14
VOLKSWAGEN,Vento,Petrol,1.8,107000.0,4.0,Manual,Front,30
TOYOTA,Camry XLE,Hybrid,2.5,95000.0,4.0,Tiptronic,Front,13
HYUNDAI,Tucson,Diesel,2,191264.0,4.0,Automatic,Front,14
HYUNDAI,Sonata,LPG,2,55210.0,4.0,Automatic,Front,11
HYUNDAI,Elantra,Petrol,1.6,98252.0,4.0,Automatic,Front,13
JEEP,Compass,Petrol,2.4,59897.0,4.0,Automatic,Front,12
MERCEDES-BENZ,GLE 350,Petrol,3,59099.0,6.0,Automatic,4x4,9
HONDA,FIT,Hybrid,1.3,111000.0,4.0,Automatic,Front,14
NISSAN,Juke,Petrol,1.6 Turbo,56000.0,4.0,Tiptronic,Front,11
HYUNDAI,H1,Diesel,2.5,66846.0,4.0,Automatic,Front,17
LEXUS,RX 450,Hybrid,3.5,101816.0,6.0,Automatic,4x4,14
NISSAN,Serena,CNG,2,281000.0,4.0,Automatic,Front,23
FORD,Fusion,Petrol,2.5,168960.0,4.0,Automatic,Front,15
CHEVROLET,Aveo,Petrol,1.4,58052.0,4.0,Automatic,Front,10
TOYOTA,Camry,Petrol,2.5,118000.0,4.0,Tiptronic,Front,10
OPEL,Corsa,Petrol,1.2,22863.0,4.0,Manual,Front,22
MERCEDES-BENZ,ML 350,Diesel,2.9 Turbo,255000.0,6.0,Automatic,4x4,14
NISSAN,March,Petrol,1.2,23603.0,4.0,Automatic,Front,10
MERCEDES-BENZ,Vaneo,Diesel,1.7 Turbo,0.0,4.0,Manual,Front,21
TOYOTA,Prius,LPG,1.5,120000.0,4.0,Automatic,Front,17
HYUNDAI,Elantra,Petrol,1.6,89323.0,4.0,Automatic,Front,14
TOYOTA,Camry,Hybrid,2.4,165000.0,4.0,Automatic,Front,15
HYUNDAI,Sonata,LPG,2,257102.0,4.0,Automatic,Front,9
TOYOTA,Prius,Hybrid,1.8,174309.0,4.0,Automatic,Front,15
TOYOTA,Prius,Hybrid,1.8,155000.0,4.0,Tiptronic,Front,11
HYUNDAI,Santa FE,Diesel,2,129254.0,4.0,Automatic,Front,10
HYUNDAI,Santa FE,Diesel,2,58548.0,4.0,Automatic,Front,14
HONDA,Insight,Hybrid,1.5,102000.0,4.0,Automatic,Front,13
FORD,Transit,Diesel,2.5,395000.0,4.0,Manual,Rear,26
TOYOTA,Camry,Hybrid,2.5,232032.0,4.0,Automatic,Front,12
TOYOTA,Camry,Hybrid,2.4,145567.0,4.0,Automatic,Front,17
FORD,Expedition,Petrol,4.6,0.0,8.0,Automatic,4x4,25
HYUNDAI,Elantra,Petrol,1.6,133783.0,4.0,Automatic,Front,14
HONDA,Accord,Petrol,2.4,39762.0,4.0,Automatic,Front,8
HYUNDAI,Elantra,Petrol,1.6,104674.0,4.0,Automatic,Front,10
MERCEDES-BENZ,E 350,Petrol,3.5,165000.0,6.0,Tiptronic,4x4,15
TOYOTA,Aqua,Petrol,1.5,53800.0,4.0,Automatic,Front,11
HYUNDAI,Santa FE,Diesel,2,99106.0,4.0,Automatic,Front,10
HYUNDAI,Sonata HYBRID,Hybrid,2.4,88400.0,4.0,Tiptronic,Front,14
